name,met (ms),iters,Speedup factor
aflag_copy_sort_random_1048576_int64,16.244960000000003,100,2.5198843210448
radix_sort_random_1048576_int64,9.3418,100,4.38196279089683
radix13_sort_random_1048576_int64,5.2843100000000005,100,7.74659700131143
radix16_sort_random_1048576_int64,5.8509199999999995,100,6.99640740259652
std_sort_random_4096_float64,0.11926,100,
aflag_sort_random_4096_float64,0.07929,100,1.50409887753815
aflag_copy_sort_random_4096_float64,0.07101,100,1.67948176313195
radix_sort_random_4096_float64,0.032850000000000004,100,3.63044140030441
radix13_sort_random_4096_float64,0.03033,100,3.93208044840092
radix16_sort_random_4096_float64,0.0697,100,1.71104734576758
std_sort_random_65536_float64,2.52996,100,
aflag_sort_random_65536_float64,1.21912,100,2.0752345954459
aflag_copy_sort_random_65536_float64,0.73706,100,3.43250210294956
radix_sort_random_65536_float64,0.67106,100,3.77009507346586
radix13_sort_random_65536_float64,0.36034999999999995,100,7.02084084917441
radix16_sort_random_65536_float64,0.42208,100,5.99402956785444
std_sort_random_1048576_float64,51.00989,100,
aflag_sort_random_1048576_float64,27.496329999999997,100,1.85515266946534
aflag_copy_sort_random_1048576_float64,18.94284,100,2.69283222579085
radix_sort_random_1048576_float64,12.699169999999999,100,4.01678928622894
radix13_sort_random_1048576_float64,5.934450000000001,100,8.5955547691867
radix16_sort_random_1048576_float64,5.603579999999999,100,9.10308945352792
std_sort_low_card_4096_delta_0,0.00209,100,
std_radix_low_card_4096_delta_0,0.0027400000000000002,100,0.762773722627737
std_aflag_low_card_4096_delta_0,0.01568,100,0.133290816326531
std_aflag_copy_low_card_4096_delta_0,0.00245,100,0.853061224489796
std_sort_low_card_4096_delta_2,0.01693,100,
std_radix_low_card_4096_delta_2,0.00252,100,6.71825396825397
std_aflag_low_card_4096_delta_2,0.01512,100,1.11970899470899
std_aflag_copy_low_card_4096_delta_2,0.00231,100,7.32900432900433
std_sort_low_card_4096_delta_5,0.025830000000000002,100,
std_radix_low_card_4096_delta_5,0.00255,100,10.1294117647059
std_aflag_low_card_4096_delta_5,0.01534,100,1.68383311603651
std_aflag_copy_low_card_4096_delta_5,0.0025900000000000003,100,9.97297297297297
std_sort_low_card_4096_delta_20,0.04283000000000001,100,
std_radix_low_card_4096_delta_20,0.00271,100,15.8044280442804
std_aflag_low_card_4096_delta_20,0.01528,100,2.80301047120419
std_aflag_copy_low_card_4096_delta_20,0.0027500000000000003,100,15.5745454545455
std_sort_low_card_4096_delta_100,0.06463,100,
std_radix_low_card_4096_delta_100,0.00264,100,24.4810606060606
std_aflag_low_card_4096_delta_100,0.01497,100,4.31730126920508
std_aflag_copy_low_card_4096_delta_100,0.00244,100,26.4877049180328
std_sort_low_card_65536_delta_0,0.031869999999999996,100,
std_radix_low_card_65536_delta_0,0.03853,100,0.8271476771347
std_aflag_low_card_65536_delta_0,0.23967,100,0.13297450661326
std_aflag_copy_low_card_65536_delta_0,0.03782,100,0.842675832892649
std_sort_low_card_65536_delta_2,0.25164000000000003,100,
std_radix_low_card_65536_delta_2,0.03843,100,6.5480093676815
std_aflag_low_card_65536_delta_2,0.23289,100,1.08051011207008
std_aflag_copy_low_card_65536_delta_2,0.036680000000000004,100,6.86041439476554
std_sort_low_card_65536_delta_5,0.38146,100,
std_radix_low_card_65536_delta_5,0.037989999999999996,100,10.0410634377468
std_aflag_low_card_65536_delta_5,0.23356000000000002,100,1.63324199349204
std_aflag_copy_low_card_65536_delta_5,0.03713,100,10.2736331807164
std_sort_low_card_65536_delta_20,0.62816,100,
std_radix_low_card_65536_delta_20,0.03819,100,16.4482848913328
std_aflag_low_card_65536_delta_20,0.23481000000000002,100,2.67518419147396
std_aflag_copy_low_card_65536_delta_20,0.03657,100,17.1769209734755
std_sort_low_card_65536_delta_100,0.9467700000000001,100,
std_radix_low_card_65536_delta_100,0.03784,100,25.0203488372093
std_aflag_low_card_65536_delta_100,0.23559000000000002,100,4.01871896090666
std_aflag_copy_low_card_65536_delta_100,0.036989999999999995,100,25.595296025953
std_sort_low_card_1048576_delta_0,0.49914000000000003,100,
std_radix_low_card_1048576_delta_0,0.6952200000000001,100,0.717959782514887
std_aflag_low_card_1048576_delta_0,4.17753,100,0.119482086304587
std_aflag_copy_low_card_1048576_delta_0,0.66633,100,0.749088289586241
std_sort_low_card_1048576_delta_2,3.8952,100,
